,geometry
379095,POINT (-48.35000610351562 -22.25)
379096,POINT (-48.25 -22.25)
379097,POINT (-48.14999389648438 -22.25)
379098,POINT (-48.04998779296875 -22.25)
379099,POINT (-47.94998168945312 -22.25)
379100,POINT (-47.85000610351562 -22.25)
379101,POINT (-47.75 -22.25)
379102,POINT (-47.64999389648438 -22.25)
379103,POINT (-47.54998779296875 -22.25)
380085,POINT (-49.44998168945312 -22.14999961853027)
380086,POINT (-49.35000610351562 -22.14999961853027)
380087,POINT (-49.25 -22.14999961853027)
380088,POINT (-49.14999389648438 -22.14999961853027)
380089,POINT (-49.04998779296875 -22.14999961853027)
380090,POINT (-48.94998168945312 -22.14999961853027)
380091,POINT (-48.85000610351562 -22.14999961853027)
380092,POINT (-48.75 -22.14999961853027)
380093,POINT (-48.64999389648438 -22.14999961853027)
380094,POINT (-48.54998779296875 -22.14999961853027)
380095,POINT (-48.44998168945312 -22.14999961853027)
380096,POINT (-48.35000610351562 -22.14999961853027)
380097,POINT (-48.25 -22.14999961853027)
380098,POINT (-48.14999389648438 -22.14999961853027)
380099,POINT (-48.04998779296875 -22.14999961853027)
380100,POINT (-47.94998168945312 -22.14999961853027)
380101,POINT (-47.85000610351562 -22.14999961853027)
380102,POINT (-47.75 -22.14999961853027)
380103,POINT (-47.64999389648438 -22.14999961853027)
381086,POINT (-49.44998168945312 -22.04999923706055)
381087,POINT (-49.35000610351562 -22.04999923706055)
381088,POINT (-49.25 -22.04999923706055)
381089,POINT (-49.14999389648438 -22.04999923706055)
381090,POINT (-49.04998779296875 -22.04999923706055)
381091,POINT (-48.94998168945312 -22.04999923706055)
381092,POINT (-48.85000610351562 -22.04999923706055)
381093,POINT (-48.75 -22.04999923706055)
381094,POINT (-48.64999389648438 -22.04999923706055)
381095,POINT (-48.54998779296875 -22.04999923706055)
381096,POINT (-48.44998168945312 -22.04999923706055)
381097,POINT (-48.35000610351562 -22.04999923706055)
381098,POINT (-48.25 -22.04999923706055)
381099,POINT (-48.14999389648438 -22.04999923706055)
381100,POINT (-48.04998779296875 -22.04999923706055)
381101,POINT (-47.94998168945312 -22.04999923706055)
381102,POINT (-47.85000610351562 -22.04999923706055)
382086,POINT (-49.54998779296875 -21.95000076293945)
382087,POINT (-49.44998168945312 -21.95000076293945)
382088,POINT (-49.35000610351562 -21.95000076293945)
382089,POINT (-49.25 -21.95000076293945)
382090,POINT (-49.14999389648438 -21.95000076293945)
382091,POINT (-49.04998779296875 -21.95000076293945)
382092,POINT (-48.94998168945312 -21.95000076293945)
382093,POINT (-48.85000610351562 -21.95000076293945)
382094,POINT (-48.75 -21.95000076293945)
382095,POINT (-48.64999389648438 -21.95000076293945)
382096,POINT (-48.54998779296875 -21.95000076293945)
382097,POINT (-48.44998168945312 -21.95000076293945)
382098,POINT (-48.35000610351562 -21.95000076293945)
382099,POINT (-48.25 -21.95000076293945)
382100,POINT (-48.14999389648438 -21.95000076293945)
382101,POINT (-48.04998779296875 -21.95000076293945)
382102,POINT (-47.94998168945312 -21.95000076293945)
383086,POINT (-49.64999389648438 -21.85000038146973)
383087,POINT (-49.54998779296875 -21.85000038146973)
383088,POINT (-49.44998168945312 -21.85000038146973)
383089,POINT (-49.35000610351562 -21.85000038146973)
383090,POINT (-49.25 -21.85000038146973)
383091,POINT (-49.14999389648438 -21.85000038146973)
383092,POINT (-49.04998779296875 -21.85000038146973)
383093,POINT (-48.94998168945312 -21.85000038146973)
383094,POINT (-48.85000610351562 -21.85000038146973)
383095,POINT (-48.75 -21.85000038146973)
383096,POINT (-48.64999389648438 -21.85000038146973)
383097,POINT (-48.54998779296875 -21.85000038146973)
383098,POINT (-48.44998168945312 -21.85000038146973)
383099,POINT (-48.35000610351562 -21.85000038146973)
383100,POINT (-48.25 -21.85000038146973)
383101,POINT (-48.14999389648438 -21.85000038146973)
384087,POINT (-49.64999389648438 -21.75)
384088,POINT (-49.54998779296875 -21.75)
384089,POINT (-49.44998168945312 -21.75)
384090,POINT (-49.35000610351562 -21.75)
384091,POINT (-49.25 -21.75)
384092,POINT (-49.14999389648438 -21.75)
384093,POINT (-49.04998779296875 -21.75)
384094,POINT (-48.94998168945312 -21.75)
384095,POINT (-48.85000610351562 -21.75)
384096,POINT (-48.75 -21.75)
384097,POINT (-48.64999389648438 -21.75)
384098,POINT (-48.54998779296875 -21.75)
384099,POINT (-48.44998168945312 -21.75)
384100,POINT (-48.35000610351562 -21.75)
384101,POINT (-48.25 -21.75)
384102,POINT (-48.14999389648438 -21.75)
385086,POINT (-49.85000610351562 -21.64999961853027)
385087,POINT (-49.75 -21.64999961853027)
385088,POINT (-49.64999389648438 -21.64999961853027)
385089,POINT (-49.54998779296875 -21.64999961853027)
